LongBench v2 (OVAL, rank 8, unquantized, B=2048)
    model        eta          n    overall      short     medium       long      nulls
--------------------------------------------------------------------------------------
llama-3.1-chat-8b        0.0        503      29.42      34.44      27.44       25.0         34
llama-3.1-chat-8b       0.25        503      29.42       35.0      26.98       25.0         33
llama-3.1-chat-8b        0.5        503      29.82       35.0      27.44      25.93         33
llama-3.1-chat-8b       0.75        503      29.82      33.89      28.84       25.0         31
llama-3.1-chat-8b        1.0        503      29.82       35.0      27.91       25.0         35
qwen-2.5-chat-7b        0.0        503      27.63      35.56      21.86      25.93         67
qwen-2.5-chat-7b       0.25        503      28.03      35.56      22.79      25.93         68
qwen-2.5-chat-7b        0.5        503      27.63      35.56      21.86      25.93         63
qwen-2.5-chat-7b       0.75        503      28.03      36.11      22.33      25.93         67
qwen-2.5-chat-7b        1.0        503      28.03      36.11      22.33      25.93         62

LongGenBench (OVAL, rank 8, unquantized, B=2048)
    model        eta          n         cr    avg_acc   cr_x_acc
----------------------------------------------------------------
llama-3.1-chat-8b        0.0        400      73.12     0.3725      27.24
llama-3.1-chat-8b       0.25        400      72.64     0.3753      27.26
llama-3.1-chat-8b        0.5        400      71.82     0.3792      27.23
llama-3.1-chat-8b       0.75        400      72.61     0.3757      27.28
llama-3.1-chat-8b        1.0        400      74.71     0.3815       28.5
qwen-2.5-chat-7b        0.0        400      78.54     0.4123      32.38
qwen-2.5-chat-7b       0.25        400      77.64      0.411      31.91
qwen-2.5-chat-7b        0.5        400      77.93     0.4088      31.86
qwen-2.5-chat-7b       0.75        400      78.29     0.4032      31.57
qwen-2.5-chat-7b        1.0        400       78.0     0.4138      32.27
qwen-2.5-chat-14b        0.0        400      63.78     0.4485      28.61
qwen-2.5-chat-14b       0.25        400      63.74     0.4343      27.68
qwen-2.5-chat-14b        0.5        400      61.08      0.441      26.93
qwen-2.5-chat-14b       0.75        400      63.92     0.4481      28.64
qwen-2.5-chat-14b        1.0        400      61.34      0.445       27.3
